PUBLISH_DATE,TRADING_NAME,BRAND_DESCRIPTION,PRODUCT_DESCRIPTION,PRODUCT_PRICE,ADDRESS,LOCATION,POSTCODE,AREA_DESCRIPTION,REGION_DESCRIPTION,
01/11/2022,53 Mile Roadhouse,United,ULP,178.9,31 South Western Hwy,PINJARRA,6208,Murray,Peel,
01/11/2022,53 Mile Roadhouse,United,Diesel,225.9,31 South Western Hwy,PINJARRA,6208,Murray,Peel,
01/11/2022,53 Mile Roadhouse,United,98 RON,192.9,31 South Western Hwy,PINJARRA,6208,Murray,Peel,
01/11/2022,7-Eleven Ascot,7-Eleven,ULP,177.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/11/2022,7-Eleven Ascot,7-Eleven,Brand Diesel,236.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/11/2022,7-Eleven Ascot,7-Eleven,PULP,189.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/11/2022,7-Eleven Ascot,7-Eleven,98 RON,197.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/11/2022,7-Eleven Balcatta,7-Eleven,ULP,172.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/11/2022,7-Eleven Balcatta,7-Eleven,Brand Diesel,235.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/11/2022,7-Eleven Balcatta,7-Eleven,PULP,184.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/11/2022,7-Eleven Balcatta,7-Eleven,98 RON,192.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/11/2022,7-Eleven Baldivis,7-Eleven,ULP,173.9,370 Baldivis Rd,BALDIVIS,6171,South of River,Metro,
01/11/2022,7-Eleven Baldivis,7-Eleven,Brand Diesel,239.9,370 Baldivis Rd,BALDIVIS,6171,South of River,Metro,
01/11/2022,7-Eleven Baldivis,7-Eleven,PULP,185.9,370 Baldivis Rd,BALDIVIS,6171,South of River,Metro,
