PUBLISH_DATE,TRADING_NAME,BRAND_DESCRIPTION,PRODUCT_DESCRIPTION,PRODUCT_PRICE,ADDRESS,LOCATION,POSTCODE,AREA_DESCRIPTION,REGION_DESCRIPTION,
01/05/2022,53 Mile Roadhouse,United,ULP,166.9,31 South Western Hwy,PINJARRA,6208,Murray,Peel,
01/05/2022,53 Mile Roadhouse,United,Diesel,188.9,31 South Western Hwy,PINJARRA,6208,Murray,Peel,
01/05/2022,53 Mile Roadhouse,United,98 RON,182.9,31 South Western Hwy,PINJARRA,6208,Murray,Peel,
01/05/2022,7-Eleven Ascot,7-Eleven,ULP,161.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/05/2022,7-Eleven Ascot,7-Eleven,Brand Diesel,193.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/05/2022,7-Eleven Ascot,7-Eleven,PULP,173.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/05/2022,7-Eleven Ascot,7-Eleven,98 RON,181.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/05/2022,7-Eleven Balcatta,7-Eleven,ULP,160.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/05/2022,7-Eleven Balcatta,7-Eleven,Brand Diesel,194.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/05/2022,7-Eleven Balcatta,7-Eleven,PULP,172.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/05/2022,7-Eleven Balcatta,7-Eleven,98 RON,180.7,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/05/2022,7-Eleven Balga,7-Eleven,ULP,160.9,102 Princess Rd,BALGA,6061,North of River,Metro,
01/05/2022,7-Eleven Balga,7-Eleven,Brand Diesel,194.9,102 Princess Rd,BALGA,6061,North of River,Metro,
01/05/2022,7-Eleven Balga,7-Eleven,PULP,172.9,102 Princess Rd,BALGA,6061,North of River,Metro,
01/05/2022,7-Eleven Balga,7-Eleven,98 RON,180.9,102 Princess Rd,BALGA,6061,North of River,Metro,
01/05/2022,7-Eleven Banksia Grove,7-Eleven,ULP,160.9,1/300 Joseph Banks Bvd,BANKSIA GROVE,6031,North of River,Metro,
01/05/2022,7-Eleven Banksia Grove,7-Eleven,Brand Diesel,189.9,1/300 Joseph Banks Bvd,BANKSIA GROVE,6031,North of River,Metro,
01/05/2022,7-Eleven Banksia Grove,7-Eleven,PULP,172.9,1/300 Joseph Banks Bvd,BANKSIA GROVE,6031,North of River,Metro,
01/05/2022,7-Eleven Banksia Grove,7-Eleven,98 RON,180.9,1/300 Joseph Banks Bvd,BANKSIA GROVE,6031,North of River,Metro,
01/05/2022,7-Eleven Bassendean,7-Eleven,ULP,159.9,302-318 Collier Rd,BASSENDEAN,6054,North of River,Metro,
01/05/2022,7-Eleven Bassendean,7-Eleven,Brand Diesel,191.9,302-318 Collier Rd,BASSENDEAN,6054,North of River,Metro,
01/05/2022,7-Eleven Bassendean,7-Eleven,PULP,171.9,302-318 Collier Rd,BASSENDEAN,6054,North of River,Metro,
01/05/2022,7-Eleven Bassendean,7-Eleven,98 RON,179.9,302-318 Collier Rd,BASSENDEAN,6054,North of River,Metro,
01/05/2022,7-Eleven Bibra Lake,7-Eleven,ULP,161.9,35 Port Kembla Dr,BIBRA LAKE,6163,South of River,Metro,
01/05/2022,7-Eleven Bibra Lake,7-Eleven,Brand Diesel,191.9,35 Port Kembla Dr,BIBRA LAKE,6163,South of River,Metro,
01/05/2022,7-Eleven Bibra Lake,7-Eleven,PULP,173.9,35 Port Kembla Dr,BIBRA LAKE,6163,South of River,Metro,
01/05/2022,7-Eleven Bibra Lake,7-Eleven,98 RON,181.9,35 Port Kembla Dr,BIBRA LAKE,6163,South of River,Metro,
01/05/2022,7-Eleven Booragoon,7-Eleven,ULP,162.9,492 Marmion St,BOORAGOON,6154,South of River,Metro,
01/05/2022,7-Eleven Booragoon,7-Eleven,Brand Diesel,190.9,492 Marmion St,BOORAGOON,6154,South of River,Metro,
01/05/2022,7-Eleven Booragoon,7-Eleven,PULP,174.9,492 Marmion St,BOORAGOON,6154,South of River,Metro,
01/05/2022,7-Eleven Booragoon,7-Eleven,98 RON,182.9,492 Marmion St,BOORAGOON,6154,South of River,Metro,
01/05/2022,7-Eleven Brabham,7-Eleven,ULP,159.9,3 Marvel Ent,BRABHAM,6055,East/Hills,Metro,
01/05/2022,7-Eleven Brabham,7-Eleven,Brand Diesel,191.7,3 Marvel Ent,BRABHAM,6055,East/Hills,Metro,
01/05/2022,7-Eleven Brabham,7-Eleven,PULP,171.9,3 Marvel Ent,BRABHAM,6055,East/Hills,Metro,
01/05/2022,7-Eleven Brabham,7-Eleven,98 RON,179.9,3 Marvel Ent,BRABHAM,6055,East/Hills,Metro,
01/05/2022,7-Eleven Busselton,7-Eleven,ULP,169.9,81-93 West St,BUSSELTON,6280,Busselton-Shire,South-West,
01/05/2022,7-Eleven Busselton,7-Eleven,Brand Diesel,193.9,81-93 West St,BUSSELTON,6280,Busselton-Shire,South-West,
01/05/2022,7-Eleven Busselton,7-Eleven,PULP,181.9,81-93 West St,BUSSELTON,6280,Busselton-Shire,South-West,
01/05/2022,7-Eleven Busselton,7-Eleven,98 RON,189.9,81-93 West St,BUSSELTON,6280,Busselton-Shire,South-West,
01/05/2022,7-Eleven Butler,7-Eleven,ULP,161.9,270 Butler Bvd,BUTLER,6036,North of River,Metro,
