PUBLISH_DATE,TRADING_NAME,BRAND_DESCRIPTION,PRODUCT_DESCRIPTION,PRODUCT_PRICE,ADDRESS,LOCATION,POSTCODE,AREA_DESCRIPTION,REGION_DESCRIPTION,
01/03/2022,53 Mile Roadhouse,United,ULP,177.9,31 South Western Hwy,PINJARRA,6208,Murray,Peel,
01/03/2022,53 Mile Roadhouse,United,Diesel,176.9,31 South Western Hwy,PINJARRA,6208,Murray,Peel,
01/03/2022,53 Mile Roadhouse,United,98 RON,190.9,31 South Western Hwy,PINJARRA,6208,Murray,Peel,
01/03/2022,7-Eleven Ascot,7-Eleven,ULP,189.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/03/2022,7-Eleven Ascot,7-Eleven,Brand Diesel,184.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/03/2022,7-Eleven Ascot,7-Eleven,PULP,201.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/03/2022,7-Eleven Ascot,7-Eleven,98 RON,209.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/03/2022,7-Eleven Balcatta,7-Eleven,ULP,185.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/03/2022,7-Eleven Balcatta,7-Eleven,Brand Diesel,179.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/03/2022,7-Eleven Balcatta,7-Eleven,PULP,197.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/03/2022,7-Eleven Balcatta,7-Eleven,98 RON,205.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/03/2022,7-Eleven Balga,7-Eleven,ULP,185.9,102 Princess Rd,BALGA,6061,North of River,Metro,
01/03/2022,7-Eleven Balga,7-Eleven,Brand Diesel,179.9,102 Princess Rd,BALGA,6061,North of River,Metro,
01/03/2022,7-Eleven Balga,7-Eleven,PULP,197.9,102 Princess Rd,BALGA,6061,North of River,Metro,
01/03/2022,7-Eleven Balga,7-Eleven,98 RON,205.9,102 Princess Rd,BALGA,6061,North of River,Metro,
01/03/2022,7-Eleven Banksia Grove,7-Eleven,ULP,181.9,1/300 Joseph Banks Bvd,BANKSIA GROVE,6031,North of River,Metro,
01/03/2022,7-Eleven Banksia Grove,7-Eleven,Brand Diesel,177.9,1/300 Joseph Banks Bvd,BANKSIA GROVE,6031,North of River,Metro,
01/03/2022,7-Eleven Banksia Grove,7-Eleven,PULP,193.9,1/300 Joseph Banks Bvd,BANKSIA GROVE,6031,North of River,Metro,
01/03/2022,7-Eleven Banksia Grove,7-Eleven,98 RON,201.9,1/300 Joseph Banks Bvd,BANKSIA GROVE,6031,North of River,Metro,
01/03/2022,7-Eleven Bassendean,7-Eleven,ULP,178.9,302-318 Collier Rd,BASSENDEAN,6054,North of River,Metro,
01/03/2022,7-Eleven Bassendean,7-Eleven,Brand Diesel,179.9,302-318 Collier Rd,BASSENDEAN,6054,North of River,Metro,
01/03/2022,7-Eleven Bassendean,7-Eleven,PULP,190.9,302-318 Collier Rd,BASSENDEAN,6054,North of River,Metro,
01/03/2022,7-Eleven Bassendean,7-Eleven,98 RON,198.9,302-318 Collier Rd,BASSENDEAN,6054,North of River,Metro,
01/03/2022,7-Eleven Bibra Lake,7-Eleven,ULP,185.9,35 Port Kembla Dr,BIBRA LAKE,6163,South of River,Metro,
01/03/2022,7-Eleven Bibra Lake,7-Eleven,Brand Diesel,175.9,35 Port Kembla Dr,BIBRA LAKE,6163,South of River,Metro,
01/03/2022,7-Eleven Bibra Lake,7-Eleven,PULP,197.9,35 Port Kembla Dr,BIBRA LAKE,6163,South of River,Metro,
01/03/2022,7-Eleven Bibra Lake,7-Eleven,98 RON,205.9,35 Port Kembla Dr,BIBRA LAKE,6163,South of River,Metro,
01/03/2022,7-Eleven Booragoon,7-Eleven,ULP,184.9,492 Marmion St,BOORAGOON,6154,South of River,Metro,
01/03/2022,7-Eleven Booragoon,7-Eleven,Brand Diesel,177.9,492 Marmion St,BOORAGOON,6154,South of River,Metro,
01/03/2022,7-Eleven Booragoon,7-Eleven,PULP,196.9,492 Marmion St,BOORAGOON,6154,South of River,Metro,
01/03/2022,7-Eleven Booragoon,7-Eleven,98 RON,204.9,492 Marmion St,BOORAGOON,6154,South of River,Metro,
01/03/2022,7-Eleven Brabham,7-Eleven,ULP,183.9,3 Marvel Ent,BRABHAM,6055,East/Hills,Metro,
01/03/2022,7-Eleven Brabham,7-Eleven,Brand Diesel,179.9,3 Marvel Ent,BRABHAM,6055,East/Hills,Metro,
01/03/2022,7-Eleven Brabham,7-Eleven,PULP,195.9,3 Marvel Ent,BRABHAM,6055,East/Hills,Metro,
01/03/2022,7-Eleven Brabham,7-Eleven,98 RON,203.9,3 Marvel Ent,BRABHAM,6055,East/Hills,Metro,
01/03/2022,7-Eleven Busselton,7-Eleven,ULP,179.9,81-93 West St,BUSSELTON,6280,Busselton-Shire,South-West,
01/03/2022,7-Eleven Busselton,7-Eleven,Brand Diesel,179.9,81-93 West St,BUSSELTON,6280,Busselton-Shire,South-West,
01/03/2022,7-Eleven Busselton,7-Eleven,PULP,191.9,81-93 West St,BUSSELTON,6280,Busselton-Shire,South-West,
01/03/2022,7-Eleven Busselton,7-Eleven,98 RON,199.9,81-93 West St,BUSSELTON,6280,Busselton-Shire,South-West,
01/03/2022,7-Eleven Butler,7-Eleven,ULP,186.9,270 Butler Bvd,BUTLER,6036,North of River,Metro,
01/03/2022,7-Eleven Butler,7-Eleven,Brand Diesel,179.9,270 Butler Bvd,BUTLER,6036,North of River,Metro,
01/03/2022,7-Eleven Butler,7-Eleven,PULP,198.9,270 Butler Bvd,BUTLER,6036,North of River,Metro,
01/03/2022,7-Eleven Butler,7-Eleven,98 RON,206.9,270 Butler Bvd,BUTLER,6036,North of River,Metro,
01/03/2022,7-Eleven Byford South,7-Eleven,ULP,186.9,25 Abernethy Rd,BYFORD,6122,South of River,Metro,
01/03/2022,7-Eleven Byford South,7-Eleven,Brand Diesel,179.9,25 Abernethy Rd,BYFORD,6122,South of River,Metro,
01/03/2022,7-Eleven Byford South,7-Eleven,PULP,198.9,25 Abernethy Rd,BYFORD,6122,South of River,Metro,
01/03/2022,7-Eleven Byford South,7-Eleven,98 RON,206.9,25 Abernethy Rd,BYFORD,6122,South of River,Metro,
