PUBLISH_DATE,TRADING_NAME,BRAND_DESCRIPTION,PRODUCT_DESCRIPTION,PRODUCT_PRICE,ADDRESS,LOCATION,POSTCODE,AREA_DESCRIPTION,REGION_DESCRIPTION,
01/06/2022,53 Mile Roadhouse,United,ULP,191.9,31 South Western Hwy,PINJARRA,6208,Murray,Peel,
01/06/2022,53 Mile Roadhouse,United,Diesel,199.9,31 South Western Hwy,PINJARRA,6208,Murray,Peel,
01/06/2022,53 Mile Roadhouse,United,98 RON,206.9,31 South Western Hwy,PINJARRA,6208,Murray,Peel,
01/06/2022,7-Eleven Ascot,7-Eleven,ULP,215.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/06/2022,7-Eleven Ascot,7-Eleven,Brand Diesel,205.7,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/06/2022,7-Eleven Ascot,7-Eleven,PULP,227.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/06/2022,7-Eleven Ascot,7-Eleven,98 RON,235.9,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,
01/06/2022,7-Eleven Balcatta,7-Eleven,ULP,215.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/06/2022,7-Eleven Balcatta,7-Eleven,Brand Diesel,205.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/06/2022,7-Eleven Balcatta,7-Eleven,PULP,227.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/06/2022,7-Eleven Balcatta,7-Eleven,98 RON,235.9,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,
01/06/2022,7-Eleven Balga,7-Eleven,ULP,215.9,102 Princess Rd,BALGA,6061,North of River,Metro,
01/06/2022,7-Eleven Balga,7-Eleven,Brand Diesel,205.9,102 Princess Rd,BALGA,6061,North of River,Metro,
01/06/2022,7-Eleven Balga,7-Eleven,PULP,227.9,102 Princess Rd,BALGA,6061,North of River,Metro,
01/06/2022,7-Eleven Balga,7-Eleven,98 RON,235.9,102 Princess Rd,BALGA,6061,North of River,Metro,
01/06/2022,7-Eleven Banksia Grove,7-Eleven,ULP,215.9,1/300 Joseph Banks Bvd,BANKSIA GROVE,6031,North of River,Metro,
01/06/2022,7-Eleven Banksia Grove,7-Eleven,Brand Diesel,201.9,1/300 Joseph Banks Bvd,BANKSIA GROVE,6031,North of River,Metro,
01/06/2022,7-Eleven Banksia Grove,7-Eleven,PULP,227.9,1/300 Joseph Banks Bvd,BANKSIA GROVE,6031,North of River,Metro,
01/06/2022,7-Eleven Banksia Grove,7-Eleven,98 RON,235.9,1/300 Joseph Banks Bvd,BANKSIA GROVE,6031,North of River,Metro,
01/06/2022,7-Eleven Bassendean,7-Eleven,ULP,189.9,302-318 Collier Rd,BASSENDEAN,6054,North of River,Metro,
01/06/2022,7-Eleven Bassendean,7-Eleven,Brand Diesel,199.9,302-318 Collier Rd,BASSENDEAN,6054,North of River,Metro,
01/06/2022,7-Eleven Bassendean,7-Eleven,PULP,201.9,302-318 Collier Rd,BASSENDEAN,6054,North of River,Metro,
01/06/2022,7-Eleven Bassendean,7-Eleven,98 RON,209.9,302-318 Collier Rd,BASSENDEAN,6054,North of River,Metro,
01/06/2022,7-Eleven Bibra Lake,7-Eleven,ULP,189.9,35 Port Kembla Dr,BIBRA LAKE,6163,South of River,Metro,
01/06/2022,7-Eleven Bibra Lake,7-Eleven,Brand Diesel,199.9,35 Port Kembla Dr,BIBRA LAKE,6163,South of River,Metro,
01/06/2022,7-Eleven Bibra Lake,7-Eleven,PULP,201.9,35 Port Kembla Dr,BIBRA LAKE,6163,South of River,Metro,
01/06/2022,7-Eleven Bibra Lake,7-Eleven,98 RON,209.9,35 Port Kembla Dr,BIBRA LAKE,6163,South of River,Metro,
01/06/2022,7-Eleven Booragoon,7-Eleven,ULP,215.9,492 Marmion St,BOORAGOON,6154,South of River,Metro,
01/06/2022,7-Eleven Booragoon,7-Eleven,Brand Diesel,204.9,492 Marmion St,BOORAGOON,6154,South of River,Metro,
01/06/2022,7-Eleven Booragoon,7-Eleven,PULP,227.9,492 Marmion St,BOORAGOON,6154,South of River,Metro,
01/06/2022,7-Eleven Booragoon,7-Eleven,98 RON,235.9,492 Marmion St,BOORAGOON,6154,South of River,Metro,
01/06/2022,7-Eleven Brabham,7-Eleven,ULP,215.9,3 Marvel Ent,BRABHAM,6055,East/Hills,Metro,
01/06/2022,7-Eleven Brabham,7-Eleven,Brand Diesel,203.7,3 Marvel Ent,BRABHAM,6055,East/Hills,Metro,
01/06/2022,7-Eleven Brabham,7-Eleven,PULP,227.9,3 Marvel Ent,BRABHAM,6055,East/Hills,Metro,
01/06/2022,7-Eleven Brabham,7-Eleven,98 RON,235.9,3 Marvel Ent,BRABHAM,6055,East/Hills,Metro,
01/06/2022,7-Eleven Busselton,7-Eleven,ULP,193.9,81-93 West St,BUSSELTON,6280,Busselton-Shire,South-West,
01/06/2022,7-Eleven Busselton,7-Eleven,Brand Diesel,207.9,81-93 West St,BUSSELTON,6280,Busselton-Shire,South-West,
01/06/2022,7-Eleven Busselton,7-Eleven,PULP,205.9,81-93 West St,BUSSELTON,6280,Busselton-Shire,South-West,
01/06/2022,7-Eleven Busselton,7-Eleven,98 RON,213.9,81-93 West St,BUSSELTON,6280,Busselton-Shire,South-West,
01/06/2022,7-Eleven Butler,7-Eleven,ULP,215.9,270 Butler Bvd,BUTLER,6036,North of River,Metro,
01/06/2022,7-Eleven Butler,7-Eleven,Brand Diesel,199.9,270 Butler Bvd,BUTLER,6036,North of River,Metro,
01/06/2022,7-Eleven Butler,7-Eleven,PULP,227.9,270 Butler Bvd,BUTLER,6036,North of River,Metro,
01/06/2022,7-Eleven Butler,7-Eleven,98 RON,235.9,270 Butler Bvd,BUTLER,6036,North of River,Metro,
01/06/2022,7-Eleven Byford South,7-Eleven,ULP,215.9,25 Abernethy Rd,BYFORD,6122,South of River,Metro,
01/06/2022,7-Eleven Byford South,7-Eleven,Brand Diesel,198.9,25 Abernethy Rd,BYFORD,6122,South of River,Metro,
01/06/2022,7-Eleven Byford South,7-Eleven,PULP,227.9,25 Abernethy Rd,BYFORD,6122,South of River,Metro,
01/06/2022,7-Eleven Byford South,7-Eleven,98 RON,235.9,25 Abernethy Rd,BYFORD,6122,South of River,Metro,
01/06/2022,7-Eleven Canning Vale,7-Eleven,ULP,215.9,Lot 322 Ranford Rd,CANNING VALE,6155,South of River,Metro,
01/06/2022,7-Eleven Canning Vale,7-Eleven,Brand Diesel,203.9,Lot 322 Ranford Rd,CANNING VALE,6155,South of River,Metro,
01/06/2022,7-Eleven Canning Vale,7-Eleven,PULP,227.9,Lot 322 Ranford Rd,CANNING VALE,6155,South of River,Metro,
01/06/2022,7-Eleven Canning Vale,7-Eleven,98 RON,235.9,Lot 322 Ranford Rd,CANNING VALE,6155,South of River,Metro,
01/06/2022,7-Eleven Carlisle,7-Eleven,ULP,215.9,232 Orrong Rd,CARLISLE,6101,South of River,Metro,
01/06/2022,7-Eleven Carlisle,7-Eleven,Brand Diesel,205.9,232 Orrong Rd,CARLISLE,6101,South of River,Metro,
01/06/2022,7-Eleven Carlisle,7-Eleven,PULP,227.9,232 Orrong Rd,CARLISLE,6101,South of River,Metro,
01/06/2022,7-Eleven Carlisle,7-Eleven,98 RON,235.9,232 Orrong Rd,CARLISLE,6101,South of River,Metro,
01/06/2022,7-Eleven Caversham,7-Eleven,ULP,215.9,2131 West Swan Rd,CAVERSHAM,6055,North of River,Metro,
01/06/2022,7-Eleven Caversham,7-Eleven,Brand Diesel,205.9,2131 West Swan Rd,CAVERSHAM,6055,North of River,Metro,
01/06/2022,7-Eleven Caversham,7-Eleven,PULP,227.9,2131 West Swan Rd,CAVERSHAM,6055,North of River,Metro,
01/06/2022,7-Eleven Caversham,7-Eleven,98 RON,235.9,2131 West Swan Rd,CAVERSHAM,6055,North of River,Metro,
01/06/2022,7-Eleven Cockburn Central,7-Eleven,ULP,189.9,814 North Lake Rd,COCKBURN CENTRAL,6164,South of River,Metro,
01/06/2022,7-Eleven Cockburn Central,7-Eleven,Brand Diesel,199.9,814 North Lake Rd,COCKBURN CENTRAL,6164,South of River,Metro,
01/06/2022,7-Eleven Cockburn Central,7-Eleven,PULP,201.9,814 North Lake Rd,COCKBURN CENTRAL,6164,South of River,Metro,
01/06/2022,7-Eleven Cockburn Central,7-Eleven,98 RON,209.9,814 North Lake Rd,COCKBURN CENTRAL,6164,South of River,Metro,
01/06/2022,7-Eleven Forrestdale,7-Eleven,ULP,189.9,2 Haydock St,FORRESTDALE,6112,South of River,Metro,
01/06/2022,7-Eleven Forrestdale,7-Eleven,Brand Diesel,199.9,2 Haydock St,FORRESTDALE,6112,South of River,Metro,
01/06/2022,7-Eleven Forrestdale,7-Eleven,PULP,201.9,2 Haydock St,FORRESTDALE,6112,South of River,Metro,
01/06/2022,7-Eleven Forrestdale,7-Eleven,98 RON,209.9,2 Haydock St,FORRESTDALE,6112,South of River,Metro,
01/06/2022,7-Eleven Gosnells,7-Eleven,ULP,215.9,303 Corfield St,GOSNELLS,6110,South of River,Metro,
01/06/2022,7-Eleven Gosnells,7-Eleven,Brand Diesel,207.9,303 Corfield St,GOSNELLS,6110,South of River,Metro,
01/06/2022,7-Eleven Gosnells,7-Eleven,PULP,227.9,303 Corfield St,GOSNELLS,6110,South of River,Metro,
01/06/2022,7-Eleven Gosnells,7-Eleven,98 RON,235.9,303 Corfield St,GOSNELLS,6110,South of River,Metro,
01/06/2022,7-Eleven Greenfields South,7-Eleven,ULP,215.9,13 Lakes Rd,GREENFIELDS,6210,Mandurah,Peel,
01/06/2022,7-Eleven Greenfields South,7-Eleven,Brand Diesel,205.9,13 Lakes Rd,GREENFIELDS,6210,Mandurah,Peel,
01/06/2022,7-Eleven Greenfields South,7-Eleven,PULP,227.9,13 Lakes Rd,GREENFIELDS,6210,Mandurah,Peel,
01/06/2022,7-Eleven Greenfields South,7-Eleven,98 RON,235.9,13 Lakes Rd,GREENFIELDS,6210,Mandurah,Peel,
01/06/2022,7-Eleven Greenfields,7-Eleven,ULP,215.9,1 Eaglemont St,GREENFIELDS,6210,Mandurah,Peel,
01/06/2022,7-Eleven Greenfields,7-Eleven,Brand Diesel,205.9,1 Eaglemont St,GREENFIELDS,6210,Mandurah,Peel,
01/06/2022,7-Eleven Greenfields,7-Eleven,PULP,227.9,1 Eaglemont St,GREENFIELDS,6210,Mandurah,Peel,
01/06/2022,7-Eleven Greenfields,7-Eleven,98 RON,235.9,1 Eaglemont St,GREENFIELDS,6210,Mandurah,Peel,
01/06/2022,7-Eleven Harrisdale,7-Eleven,ULP,199.9,120 Yellowwood Ave,HARRISDALE,6112,South of River,Metro,
01/06/2022,7-Eleven Harrisdale,7-Eleven,Brand Diesel,203.5,120 Yellowwood Ave,HARRISDALE,6112,South of River,Metro,
01/06/2022,7-Eleven Harrisdale,7-Eleven,PULP,211.9,120 Yellowwood Ave,HARRISDALE,6112,South of River,Metro,
01/06/2022,7-Eleven Harrisdale,7-Eleven,98 RON,219.9,120 Yellowwood Ave,HARRISDALE,6112,South of River,Metro,
01/06/2022,7-Eleven Haynes,7-Eleven,ULP,212.9,1256 Armadale Rd,ARMADALE,6112,South of River,Metro,
01/06/2022,7-Eleven Haynes,7-Eleven,Brand Diesel,203.9,1256 Armadale Rd,ARMADALE,6112,South of River,Metro,
01/06/2022,7-Eleven Haynes,7-Eleven,PULP,224.9,1256 Armadale Rd,ARMADALE,6112,South of River,Metro,
01/06/2022,7-Eleven Haynes,7-Eleven,98 RON,232.9,1256 Armadale Rd,ARMADALE,6112,South of River,Metro,
01/06/2022,7-Eleven Joondalup,7-Eleven,ULP,215.9,8 Buick Way,JOONDALUP,6027,North of River,Metro,
01/06/2022,7-Eleven Joondalup,7-Eleven,Brand Diesel,203.9,8 Buick Way,JOONDALUP,6027,North of River,Metro,
01/06/2022,7-Eleven Joondalup,7-Eleven,PULP,227.9,8 Buick Way,JOONDALUP,6027,North of River,Metro,
01/06/2022,7-Eleven Joondalup,7-Eleven,98 RON,235.9,8 Buick Way,JOONDALUP,6027,North of River,Metro,
01/06/2022,7-Eleven Kelmscott Central,7-Eleven,ULP,189.9,4 Church St,KELMSCOTT,6111,South of River,Metro,
01/06/2022,7-Eleven Kelmscott Central,7-Eleven,Brand Diesel,203.9,4 Church St,KELMSCOTT,6111,South of River,Metro,
01/06/2022,7-Eleven Kelmscott Central,7-Eleven,PULP,201.9,4 Church St,KELMSCOTT,6111,South of River,Metro,
01/06/2022,7-Eleven Kelmscott Central,7-Eleven,98 RON,209.9,4 Church St,KELMSCOTT,6111,South of River,Metro,
01/06/2022,7-Eleven Kelmscott,7-Eleven,ULP,212.9,105 Champion Dr,KELMSCOTT,6111,South of River,Metro,
01/06/2022,7-Eleven Kelmscott,7-Eleven,Brand Diesel,201.9,105 Champion Dr,KELMSCOTT,6111,South of River,Metro,
01/06/2022,7-Eleven Kelmscott,7-Eleven,PULP,224.9,105 Champion Dr,KELMSCOTT,6111,South of River,Metro,
01/06/2022,7-Eleven Kelmscott,7-Eleven,98 RON,232.9,105 Champion Dr,KELMSCOTT,6111,South of River,Metro,
01/06/2022,7-Eleven Landsdale,7-Eleven,ULP,215.9,8 Mullingar Way,LANDSDALE,6065,North of River,Metro,
01/06/2022,7-Eleven Landsdale,7-Eleven,Brand Diesel,199.9,8 Mullingar Way,LANDSDALE,6065,North of River,Metro,
01/06/2022,7-Eleven Landsdale,7-Eleven,PULP,227.9,8 Mullingar Way,LANDSDALE,6065,North of River,Metro,
01/06/2022,7-Eleven Landsdale,7-Eleven,98 RON,235.9,8 Mullingar Way,LANDSDALE,6065,North of River,Metro,
01/06/2022,7-Eleven Maddington South,7-Eleven,ULP,189.9,1969 Albany Hwy,MADDINGTON,6109,South of River,Metro,
01/06/2022,7-Eleven Maddington South,7-Eleven,Brand Diesel,205.9,1969 Albany Hwy,MADDINGTON,6109,South of River,Metro,
01/06/2022,7-Eleven Maddington South,7-Eleven,PULP,201.9,1969 Albany Hwy,MADDINGTON,6109,South of River,Metro,
01/06/2022,7-Eleven Maddington South,7-Eleven,98 RON,209.9,1969 Albany Hwy,MADDINGTON,6109,South of River,Metro,
01/06/2022,7-Eleven Malaga,7-Eleven,ULP,215.9,650 Marshall Rd,MALAGA,6090,North of River,Metro,
01/06/2022,7-Eleven Malaga,7-Eleven,Brand Diesel,201.9,650 Marshall Rd,MALAGA,6090,North of River,Metro,
01/06/2022,7-Eleven Malaga,7-Eleven,PULP,227.9,650 Marshall Rd,MALAGA,6090,North of River,Metro,
01/06/2022,7-Eleven Malaga,7-Eleven,98 RON,235.9,650 Marshall Rd,MALAGA,6090,North of River,Metro,
01/06/2022,7-Eleven Malvern Springs,7-Eleven,ULP,215.9,324 The Broadway,ELLENBROOK,6069,North of River,Metro,
01/06/2022,7-Eleven Malvern Springs,7-Eleven,Brand Diesel,203.9,324 The Broadway,ELLENBROOK,6069,North of River,Metro,
01/06/2022,7-Eleven Malvern Springs,7-Eleven,PULP,227.9,324 The Broadway,ELLENBROOK,6069,North of River,Metro,
01/06/2022,7-Eleven Malvern Springs,7-Eleven,98 RON,235.9,324 The Broadway,ELLENBROOK,6069,North of River,Metro,
01/06/2022,7-Eleven Mandurah,7-Eleven,ULP,215.9,296 Pinjarra Rd,MANDURAH,6210,Mandurah,Peel,
01/06/2022,7-Eleven Mandurah,7-Eleven,Brand Diesel,205.9,296 Pinjarra Rd,MANDURAH,6210,Mandurah,Peel,
01/06/2022,7-Eleven Mandurah,7-Eleven,PULP,227.9,296 Pinjarra Rd,MANDURAH,6210,Mandurah,Peel,
01/06/2022,7-Eleven Mandurah,7-Eleven,98 RON,235.9,296 Pinjarra Rd,MANDURAH,6210,Mandurah,Peel,
01/06/2022,7-Eleven Middle Swan,7-Eleven,ULP,215.9,40-42 Great Northern Hwy,MIDDLE SWAN,6056,East/Hills,Metro,
01/06/2022,7-Eleven Middle Swan,7-Eleven,Brand Diesel,201.9,40-42 Great Northern Hwy,MIDDLE SWAN,6056,East/Hills,Metro,
01/06/2022,7-Eleven Middle Swan,7-Eleven,PULP,227.9,40-42 Great Northern Hwy,MIDDLE SWAN,6056,East/Hills,Metro,
